YearMade,WallType,RoofType,NumOfBedrooms,StovenFuelType,HeatingEquipmentType,HeatingEquipmentAge,NumOfRoomsHeated,FuelUsedForWaterHeating,WaterHeaterSize,AirConditioning,NumOfRoomsCooled,NumOfWindows,TotalSquareHeated,TotalSquareCooled,ElectricityConsumption,HeatingEquipmentAge_num
1978,Brick,Composition Shingles,3,Electricity,Heat Pump,10-14 Years old,8,Electricity,Medium,True,8,41,2925,2925,12748,12
1965,Brick,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,10-14 Years old,6,Natural Gas,Medium,True,6,41,1650,1650,14590,12
1985,Siding,Composition Shingles,2,Electricity,Central Warm-Air Furnace,>20 Years old,4,Natural Gas,Medium,True,4,41,815,815,4428,22
1972,Stucco,Composition Shingles,4,Natural Gas,Central Warm-Air Furnace,10-14 Years old,8,Natural Gas,Medium,True,8,41,2620,2620,9240,12
1930,Wood,Asphalt,2,Electricity,Central Warm-Air Furnace,>20 Years old,4,Natural Gas,Medium,True,4,41,2176,1088,8298,22
1972,Brick,Wood Shingles,3,Electricity,Heat Pump,15-19 Years old,5,Electricity,Medium,True,5,30,891,891,16909,17
1996,Brick,Unknown,2,Electricity,Central Warm-Air Furnace,5-9 Years old,4,Electricity,Medium,True,4,20,1024,1024,9333,7
1946,Siding,Composition Shingles,3,Electricity,Heat Pump,10-14 Years old,7,Electricity,Medium,True,7,41,1681,1681,18263,12
1959,Siding,Asphalt,2,Electricity,Central Warm-Air Furnace,10-14 Years old,4,Natural Gas,Medium,True,4,42,2480,2480,4976,12
1990,Siding,Metal,3,Electricity,Heat Pump,5-9 Years old,6,Electricity,Small,True,6,30,1176,1176,20770,7
1994,Wood,Composition Shingles,3,Electricity,Central Warm-Air Furnace,15-19 Years old,6,Natural Gas,Medium,True,6,30,2412,2412,7889,17
1979,Wood,Metal,2,Natural Gas,Central Warm-Air Furnace,2-4 Years old,4,Natural Gas,Medium,True,3,30,660,495,14232,3
2005,Siding,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,5-9 Years old,6,Natural Gas,Small,True,6,41,2096,2096,10053,7
1966,Siding,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,<2 Years old,5,Natural Gas,Medium,True,5,30,1862,1862,11123,1
1985,Wood,Unknown,2,Natural Gas,Central Warm-Air Furnace,5-9 Years old,4,Natural Gas,Medium,True,4,20,818,818,8989,7
1977,Brick,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,>20 Years old,5,Natural Gas,Small,True,5,30,1420,1420,4478,22
1971,Wood,Composition Shingles,4,Electricity,Heat Pump,5-9 Years old,6,Electricity,Large,True,8,42,1402,2893,24115,7
1963,Wood,Metal,3,Electricity,Central Warm-Air Furnace,5-9 Years old,3,Natural Gas,Medium,True,4,41,1216,1538,18216,7
2004,Stucco,Composition Shingles,4,Natural Gas,Central Warm-Air Furnace,5-9 Years old,8,Natural Gas,Medium,True,8,41,1668,1668,16906,7
1927,Wood,Metal,3,Natural Gas,Heat Pump,5-9 Years old,7,Natural Gas,Medium,True,7,42,1410,1410,14263,7
1986,Siding,Metal,2,Electricity,Central Warm-Air Furnace,>20 Years old,5,Natural Gas,Medium,True,5,30,1272,1272,3686,22
1998,Siding,Composition Shingles,2,Electricity,Central Warm-Air Furnace,10-14 Years old,5,Electricity,Medium,True,5,41,2663,2663,16143,12
